;Region/Country/Area;Tourist/visitor arrivals and tourism expenditure;Year;Series;Tourism arrivals series type;Tourism arrivals series type footnote;Value;Footnotes;Source;valor_expenditure;number_visitor
73;32;Argentina;1995;Tourist/visitor arrivals (thousands);TF;;2289;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;2289
74;32;Argentina;2005;Tourist/visitor arrivals (thousands);TF;;3823;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;3823
75;32;Argentina;2010;Tourist/visitor arrivals (thousands);TF;;5325;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;5325
76;32;Argentina;2015;Tourist/visitor arrivals (thousands);TF;;5736;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;5736
77;32;Argentina;2016;Tourist/visitor arrivals (thousands);TF;;6655;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;6655
78;32;Argentina;2017;Tourist/visitor arrivals (thousands);TF;;6720;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;6720
79;32;Argentina;1995;Tourism expenditure (millions of US dollars);;;2550;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;2550;
80;32;Argentina;2005;Tourism expenditure (millions of US dollars);;;3209;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;3209;
81;32;Argentina;2010;Tourism expenditure (millions of US dollars);;;5605;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;5605;
82;32;Argentina;2015;Tourism expenditure (millions of US dollars);;;5441;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;5441;
83;32;Argentina;2016;Tourism expenditure (millions of US dollars);;;5186;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;5186;
84;32;Argentina;2017;Tourism expenditure (millions of US dollars);;;5514;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;5514;
85;51;Armenia;1995;Tourist/visitor arrivals (thousands);TF;;12;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;12
86;51;Armenia;2005;Tourist/visitor arrivals (thousands);TF;;319;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;319
87;51;Armenia;2010;Tourist/visitor arrivals (thousands);TF;;684;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;684
88;51;Armenia;2015;Tourist/visitor arrivals (thousands);TF;;1192;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1192
89;51;Armenia;2016;Tourist/visitor arrivals (thousands);TF;;1260;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1260
90;51;Armenia;2017;Tourist/visitor arrivals (thousands);TF;;1495;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;1495
91;51;Armenia;1995;Tourism expenditure (millions of US dollars);;;14;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;14;
92;51;Armenia;2005;Tourism expenditure (millions of US dollars);;;243;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;243;
93;51;Armenia;2010;Tourism expenditure (millions of US dollars);;;694;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;694;
94;51;Armenia;2015;Tourism expenditure (millions of US dollars);;;956;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;956;
95;51;Armenia;2016;Tourism expenditure (millions of US dollars);;;988;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;988;
96;51;Armenia;2017;Tourism expenditure (millions of US dollars);;;1140;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;1140;
97;533;Aruba;1995;Tourist/visitor arrivals (thousands);TF;;619;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;619
98;533;Aruba;2005;Tourist/visitor arrivals (thousands);TF;;733;Arrivals by air.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;733
